Topic2,Comment
This is a rare event,"We suffer thousands of highway deaths in order to continue the convenience of driving, by which we get to work and to hospitals."
This is a tragedy,"@Daddy Frank Yup. We watch from afar, in horror."
This is a tragedy,Our thoughts and prayers go out to all the victims.
This is a tragedy,"The most powerful military in the history of mankind. Over 150 police officers responded to the call. Yet we are a country that cannot send our kids to school safely. You cannot tell me that there ta single parent in this country, on either side of the aisle, who can place hand on heart and say they do not worry about their kid going to school. What a shame!"
This is a tragedy,We have become so inured to the violence that this tragedy is not even a headline any more. Just another day at the office. Soon back-to-school shopping will include child-sized bullet-proof vests.
This is because of mental health,@Juliet. Because this kid finally snapped. That’s what “made him do this.”
This is because of mental health,An adult is suicidal & shoots himself on school property? Yup! You guessed it!
This is because of mental health,"Forget the idea that school shooters are Dems or Repubs, or that Trump or Biden are responsible. That narrative completely misses the mark. School shootings, as well as all mass shootings, are the result of mental illness. Political ideology may be the excuse used to justify such actions, but it is..."
This is because of mental health,It’s a mental illness crisis that you want to just paint over with rainbows and unicorns.  
This is because of mental health,"Not in all, but in many cases - from Charles Whitman to Columbine to this tragedy - these mass killings are followed by the suicide of the shooter. I looked up gun death statistics for 2021 and found that over half (54%) of all gun deaths are in fact suicides. Seems to indicate that a sense of personal failure, frustration and anti-social behavior are early signs that should disallow possession of firearms."
This is because of mental health,"Psychpaths will kill no matter what if it's in their twisted mind to do so. And they will use whatever means necessary, like knives, bombs, or gasoline. Where do you start with ""notifying the police""? More importantly, where do you stop? It's not a Second Amendment issue."
This is because of mental health,"Sad that we have people who are mentally unstable to this degree and being ignored by those who could keep these things from happening, in must instances. It’s not guns but person using that’s the problem. "
This is because of mental health,"When nut cases like this shooter rundown pedestrians at a parade, do you claim it's because people "
This is because of social media,"I think the internet has played a huge part of this also. Social media, fast exchange of information, glory hounds looking for fame, copy cats.."
This is because of social media,"If you trace the uptick in mass shootings, it correlates with the increased use of social media.  The two are inexorably linked.  "
This is because of social media,"When are we going to start addressing the mental health issues these kids suffer at the abuse of social media?  Snapchat, TicToc, Instagram etc.  Bullying at school is one thing, but no longer can they go home and be away from it.  These programs allow relentless bullying.  Aside from all the other..."
This is because of trans/woke ideology,And you refuse to admit transgender people have mental health issues.  How many trans shooters do there have to be before you blame their mental illness and not an inanimate object.
This is because of trans/woke ideology,Maybe you should find out a little more about the person who did this.  It won't fit your narrative.
This is because of trans/woke ideology,Shooter is a LGBTQ activist. Social media accounts are already scrubbed.
This is because of trans/woke ideology,The shooter identified as non-binary.  It's not a gun problem.  We all know that.
Other - policy discussion,"And of course, the government can't quarter troops in your home during peacetime."
Other - policy discussion,"Big business writing legislation is the problem; if you do not agree with that, then you should read the Constitution."
Other - policy discussion,"Gee, if only our government didn’t send foreign countries BILLIONS of our dollars. "
Other - policy discussion,If you all agree it’s a mental health issue why don’t you make mental health easily accessible?
Other - policy discussion,"Now, why can't that apply to guns as well,"
Other - policy discussion,"This is a multi factorial problem, and blaming the guns is a simplistic ""solution"". And makes little sense, as passing more laws will not solve it - criminals by definition disobey laws. I mean, murder is against the law, but these shooters ignore that one..."
Other - policy discussion,This is an extremely important article and it needs to be the headline for the paper until someone in government acts to stop children from dying at school.
Other - policy discussion,"To make sense of all the shootings that are traced back to ""bullying,"" we need to understand the details. Bullied for what kinds of things? What were the parents doing about it? What conditions in the home may have led to a student being bullied - lack of hygiene, parental abuse that leads kids to have low self-esteem and become a target to peers, isolation? On the other hand, many kids who bully have long histories of disruptive behavior which are often rooted in chaotic lives and mental health challenges. Seems to me that as a society our focus must be on making the home life safe for children. I fear that for millions of them, it is not."
